Timestamp,Eth Src,Action
2025-04-21 18:27:55,00:00:00:00:00:13,00:00:00:00:00:12,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:28:01,00:00:00:00:00:11,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_ICMP)
2025-04-21 18:28:10,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:28:10,00:00:00:00:00:13,00:00:00:00:00:12,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:28:11,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:28:15,00:00:00:00:00:12,00:00:00:00:00:13,"Temporary Block (Prediction: DDoS_TCP, Detection Count: 4)"
2025-04-21 18:28:15,00:00:00:00:00:13,00:00:00:00:00:12,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:28:16,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:28:20,00:00:00:00:00:13,00:00:00:00:00:12,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:28:20,00:00:00:00:00:12,00:00:00:00:00:13,"Permanent Block (Prediction: DDoS_TCP, Detection Count: 5)"
2025-04-21 18:28:20,00:00:00:00:00:13,00:00:00:00:00:12,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:28:25,00:00:00:00:00:13,00:00:00:00:00:12,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:28:29,00:00:00:00:00:13,00:00:00:00:00:12,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:28:35,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:28:40,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:28:45,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:28:50,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:28:55,00:00:00:00:00:12,00:00:00:00:00:13,"Permanent Block (Prediction: DDoS_TCP, Detection Count: 6)"
2025-04-21 18:34:15,00:00:00:00:00:11,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_ICMP)
2025-04-21 18:35:05,00:00:00:00:00:51,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:35:06,00:00:00:00:00:13,00:00:00:00:00:51,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:23:58,00:00:00:00:00:13,00:00:00:00:00:12,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:23:59,00:00:00:00:00:13,00:00:00:00:00:12,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:03,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:03,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
